ID_Destino,ID_Origen,Aereolinea,ID_Aereolinea
3092,3105,AI,218
1264,1415,CE,3613
664,1212,DY,3737
1200,302,HQ,2684
4120,3386,3U,4608
1056,1382,U2,2297
3406,3199,MU,1758
737,2985,SK,4319
3495,3484,UA,5209
3493,3670,AA,24
3731,3807,WN,4547
1665,1382,AF,137
580,1053,HV,5039
3384,2276,CI,1756
3131,3077,CX,1680
1212,8414,FR,4296
3385,3370,CZ,1767
9744,9739,4Y,1173
534,1218,LS,3026
2564,4209,G3,1790
6779,5645,SW,153
2851,2833,V0,1886
3591,3678,3E,10739
2009,2029,NZ,345
6739,3714,LW,3865
3524,3550,UA,5209
3759,3550,UA,5209
2597,2556,AD,13983
3370,3239,8M,3432
3120,6195,VN,5309
1005,580,AF,137
4216,3877,G4,35
1051,629,LG,3329
3469,3678,UA,5209
1562,1056,FR,4296
1688,1587,QS,5097
1829,3550,UA,5209
2910,2920,DV,4840
3383,3930,KE,3163
2372,3304,D7,2417
3678,4042,3E,10739
3369,4033,8L,2942
3536,3462,AA,24
6342,3404,G5,15837
3988,2471,AR,412
6360,3370,CZ,1767
342,349,LG,3329
4019,3597,LW,3865
2650,2452,LA,3200
1103,1638,TP,4869
2103,2131,Y9,3148
3830,1840,AA,24
2908,3885,KC,1006
3797,580,DL,2009
3645,4023,DL,2009
502,3998,DY,3737
2997,3089,6E,2850
580,1423,AF,137
238,210,AH,794
1212,552,BE,2421
523,1213,FR,4296
3382,6357,GS,690
1538,1519,IG,3463
3494,2789,UA,5209
666,340,LH,3320
3670,3770,AA,24
523,1452,LS,3026
1177,4059,KQ,3126
2279,2370,JL,2987
1796,1847,AM,321
1512,1386,TO,8745
1354,1324,AF,137
3370,3269,AK,576
1399,1273,A5,1203
1382,2954,B2,1478
1035,1036,BU,16508
1056,465,LS,3026
2635,2578,AD,13983
144,21,PD,4021
1055,603,FR,4296
1561,1529,AP,240
2609,2531,G3,1790
245,273,KQ,3126
6383,3364,MU,1758
2259,2264,GE,5038
679,1230,DY,3737
351,1613,4U,2548
599,601,EI,837
2560,2548,G3,1790
6103,2944,M9,3547
119,156,8P,3856
4315,523,LS,3026
